a52dec 0.7.4-10
rasqal 1:0.9.33-2
readline 8.0.0-1
redland 1:1.0.17-7
reiserfsprogs 3.6.27-2
rest 0.8.1-1
rpcbind 1.2.5-2
rsync 3.1.3-1
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-4
run-parts 4.8.6.1-1
s-nail 14.9.13-2
sbc 1.4-1
sdl 1.2.15-10
sdl2 2.0.9-1
sed 4.7-1
shaderc 2018.0-3
shadow 4.6-2
shared-mime-info 1.12-1
slang 2.3.2-1
smbclient 4.10.2-0
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
spandsp 0.0.6-2
spectre-meltdown-checker 0.37-1
speex 1.2.0-2
speexdsp 1.2rc3-4
spirv-tools 2018.5-1
splix 2.0.0-14
sqlite 3.27.2-1
srt 1.3.2-1
startup-notification 0.12-6
steam-devices 0.2-2
steam-manjaro 1.0.0.56-1
sudo 1.8.27-1
sysfsutils 2.1.0-10
system-config-printer 1.5.11-4
systemd 241.607-1
systemd-fsck-silent 239-1
systemd-libs 241.607-1
systemd-sysvcompat 241.607-1
t1lib 5.1.2-7
taglib 1.11.1-3
talloc 2.1.16-2
tar 1.32-1
tcl 8.6.9-2
tdb 1.3.18-2
telepathy-farstream 0.6.2-5
telepathy-glib 0.24.1-2
telepathy-logger 0.8.2-3
telepathy-mission-control 5.16.4-3
terminus-font 4.47-2
tevent 1:0.9.39-2
texinfo 6.6-1
texlive-bin 2018.48691-7
thin-provisioning-tools 0.7.6-1
thunderbird 60.6.1-0
timeshift 19.01-1
tlp 1.1-1.0
totem-plparser 3.26.3-1
tracker 2.2.1-1
transmission-gtk 2.94-1
tslib 1.19-1
ttf-bitstream-vera 1.10-12
ttf-dejavu 2.37-2
ttf-droid 20121017-6
ttf-inconsolata 1:2.0.0.1-3
ttf-indic-otf 0.2-9
ttf-liberation 2.00.5-1
twolame 0.3.13-8
tzdata 2019a-1
udisks2 2.8.2-1
ufw 0.36-1
uget 2.2.1-2
unzip 6.0-13
upower 0.99.10-1
usb_modeswitch 2.5.2-1
usbmuxd 1.1.0+48+g1cc8b34-3
usbutils 010-1
util-linux 2.33.1-2
v4l-utils 1.16.3-1
v86d 0.1.10-5.1
vala-panel-appmenu-common 0.7.1-1.1
vala-panel-appmenu-mate 0.7.1-1.1
vi 1:070224-3
vid.stab 1.1-2
